titulo;localizacion;precio;caracteristicas_basicas;caracteristicas_extras;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor
Piso en venta en calle de Santiago Bernabéu;El Viso;1550000;['230 m² construidos', '6 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Trastero', 'Construido en 1963', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;230;6.0;3.0;;True;;;1963.0;Calefacción central;Planta 3ª exterior;True
Piso en venta en Trafalgar;Chamberí;1450000;['136 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación sur, oeste', 'Construido en 1904', 'Calefacción individual: Eléctrica', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n106 kWh/m² año', 'Emisiones: \n26 kg CO2/m² año'];;136;3.0;2.0;;;Segunda mano/buen estado;oeste;1904.0;Eléctrica;Planta 3ª exterior;True
Piso en venta en calle de Castelló;Castellana;1499000;['170 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;170;3.0;3.0;;;Segunda mano/buen estado;;;Gas;Planta 1ª interior;True
Piso en venta en calle de Alberto Bosch;Jerónimos;2500000;['227 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;227;3.0;3.0;;;Segunda mano/buen estado;sur;;Gas natural;Planta 1ª exterior;True
 Chalet pareado en venta en Peñagrande;Fuencarral;1395000;['Chalet pareado', '4 plantas', '368 m² construidos, 312 m² útiles', '5 habitaciones', '6 baños', 'Parcela de 254 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 2020', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n61,43 kWh/m² año', 'Emisiones: \n10,48 kg CO2/m² año'];;368;5.0;6.0;254.0;True;Segunda mano/buen estado;oeste;2020.0;Calefacción individual;;
Piso en venta en Chueca-Justicia;Centro;1850000;['150 m² construidos', '3 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;150;3.0;3.0;;;Segunda mano/buen estado;;;Gas natural;Planta 1ª exterior;True
Piso en venta en calle de María de las Mercedes de Borbón;Valdebebas - Valdefuentes;875000;['134 m² construidos, 130 m² útiles', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2022', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo: \n25 kWh/m² año', 'Emisiones: \n5 kg CO2/m² año'];;134;3.0;2.0;;True;Segunda mano/buen estado;;2022.0;Calefacción central;Planta 1ª exterior;True
Piso en venta en calle de Juan Álvarez Mendizábal;Argüelles;850000;['119 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción central: Gas', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n314 kWh/m² año', 'Emisiones: \n64 kg CO2/m² año'];;119;2.0;2.0;;;Segunda mano/buen estado;;;Gas;Planta 2ª exterior;True
Piso en venta en calle de O'Donnell;Goya;2380000;['211 m² construidos, 181 m² útiles', '4 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1935', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;211;4.0;3.0;;;Segunda mano/buen estado;oeste;1935.0;Gas natural;Planta 2ª exterior;True
Piso en venta en calle de Joaquín Costa;El Viso;1650000;['228 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1960', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n120,9 kWh/m² año', 'Emisiones: \n25,1 kg CO2/m² año'];;228;4.0;3.0;;;;sur;1960.0;Gas;Planta 1ª exterior;True
Piso en venta en calle de García de Paredes;Trafalgar;1990000;['268 m² construidos', '4 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1950', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n155 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año'];;268;4.0;4.0;;;Segunda mano/buen estado;;1950.0;Calefacción central;Planta 3ª exterior;True
Piso en venta en Goya;Barrio de Salamanca;1700000;['220 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Trastero', 'Orientación este', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;220;4.0;3.0;;True;;este;;Calefacción central;Planta 3ª exterior;True
Piso en venta en Almagro;Chamberí;2400000;['227 m² construidos', '3 habitaciones', '4 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;227;3.0;4.0;;;Segunda mano/buen estado;sur;;Gas natural;Planta 3ª exterior;True
Piso en venta en El Viso;Chamartín;1450000;['230 m² construidos', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;230;4.0;2.0;;;Segunda mano/buen estado;;;Calefacción central;Planta 7ª exterior;True
 Casa o chalet independiente en venta en Conde Orgaz-Piovera;Hortaleza;5500000;['Casa o chalet independiente', '3 plantas', '1.150 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 1.285 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2008', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:'];;1;7.0;6.0;1285.0;True;Segunda mano/buen estado;;2008.0;Gas natural;;
Piso en venta en Nueva España;Chamartín;2650000;['328 m² construidos', '5 habitaciones', '4 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual: Eléctrica', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;328;5.0;4.0;;True;;sur;;Eléctrica;Planta 4ª exterior;True
Piso en venta en Castellana;Barrio de Salamanca;2100000;['214 m² construidos', '7 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;214;7.0;3.0;;True;;oeste;;Calefacción central;Planta 4ª exterior;True
Piso en venta en Chueca-Justicia;Centro;1850000;['152 m² construidos', '3 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;152;3.0;3.0;;;Segunda mano/buen estado;este;;Gas natural;Planta 1ª exterior;True
 Casa o chalet independiente en venta en Nueva España;Chamartín;3980000;['Casa o chalet independiente', '4 plantas', '550 m² construidos', '6 habitaciones', '7 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación sur, este, oeste', 'Construido en 2010'];['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:'];;550;6.0;7.0;;True;Segunda mano/buen estado;oeste;2010.0;;;
 Chalet adosado en venta en Conde Orgaz-Piovera;Hortaleza;1800000;['Chalet adosado', '4 plantas', '400 m² construidos', '6 habitaciones', '5 baños', 'Parcela de 311 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1990', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite'];;400;6.0;5.0;311.0;True;Segunda mano/buen estado;;1990.0;Gas natural;;
Piso en venta en Ibiza;Retiro;875000;['149 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1945', 'Calefacción central', 'Bajo exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n85 kWh/m² año'];;149;3.0;2.0;;;Segunda mano/buen estado;;1945.0;Calefacción central;;True
Piso en venta en Trafalgar;Chamberí;2395000;['270 m² construidos, 235 m² útiles', '4 habitaciones', '4 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 1977', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n394 kWh/m² año', 'Emisiones: \n103 kg CO2/m² año'];;270;4.0;4.0;;True;Segunda mano/buen estado;oeste;1977.0;Gas natural;Planta 1ª exterior;True
Piso en venta en El Viso;Chamartín;1820000;['314 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/para reformar', 'Trastero', 'Construido en 1959', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;314;5.0;4.0;;;;;1959.0;Calefacción central;Planta 2ª exterior;True
Piso en venta en Goya;Barrio de Salamanca;1398000;['138 m² construidos', '3 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1941', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;138;3.0;3.0;;;Segunda mano/buen estado;;1941.0;Calefacción central;Planta 2ª exterior;True
Piso en venta en Castellana;Barrio de Salamanca;1275000;['125 m² construidos', '3 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1935', 'Calefacción central', 'exterior', 'Con ascensor'];['Aire acondicionado', 'Inmueble exento'];;125;3.0;4.0;;;Segunda mano/buen estado;;1935.0;Calefacción central;;True
Piso en venta en plaza de los Sagrados Corazones;El Viso;1800000;['268 m² construidos', '5 habitaciones', '5 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Orientación este', 'Construido en 1964', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'No indicado'];;268;5.0;5.0;;True;;este;1964.0;;Planta 2ª exterior;True
Piso en venta en Palacio;Centro;1185000;['151 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1942', 'Calefacción individual: Gas natural', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;151;3.0;2.0;;;Segunda mano/buen estado;sur;1942.0;Gas natural;Planta 3ª exterior;True
Ático en venta en Huertas-Cortes;Centro;799000;['84 m² construidos', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1900', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;84;2.0;;;;Segunda mano/buen estado;este;1900.0;Gas natural;Planta 5ª exterior;True
Piso en venta en Gaztambide;Chamberí;1200000;['265 m² construidos', '5 habitaciones', '3 baños', 'Terraza y balcón', 'Segunda mano/para reformar', 'Trastero', 'Orientación oeste', 'Construido en 1960', 'Calefacción central: Gas', 'Planta 2ª exterior', 'Con ascensor'];['Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;265;5.0;3.0;;;;oeste;1960.0;Gas;Planta 2ª exterior;True
Piso en venta en Bernabéu-Hispanoamérica;Chamartín;695000;['70 m² construidos', '2 habitaciones', '1 baño', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Planta 2ª exterior', 'Con ascensor'];['Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;70;2.0;;;True;Segunda mano/buen estado;;;;Planta 2ª exterior;True
Piso en venta en El Viso;Chamartín;3100000;['292 m² construidos', '4 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación norte, oeste', 'Construido en 1960', 'Calefacción individual: Eléctrica', 'Planta 6ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n106 kWh/m² año', 'Emisiones: \n26 kg CO2/m² año'];;292;4.0;4.0;;True;Segunda mano/buen estado;oeste;1960.0;Eléctrica;Planta 6ª exterior;True
Piso en venta en Bernabéu-Hispanoamérica;Chamartín;695000;['70 m² construidos', '2 habitaciones', '1 baño', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Planta 2ª exterior', 'Con ascensor'];['Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;70;2.0;;;True;Segunda mano/buen estado;;;;Planta 2ª exterior;True
 Chalet pareado en venta en Conde Orgaz-Piovera;Hortaleza;1700000;['Chalet pareado', '357 m² construidos', '6 habitaciones', '7 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite'];;357;6.0;7.0;;True;Segunda mano/buen estado;;;Gas natural;;
 Chalet pareado en venta en Conde Orgaz-Piovera;Hortaleza;1700000;['Chalet pareado', '4 plantas', '357 m² construidos, 348 m² útiles', '6 habitaciones', '7 baños', 'Parcela de 250 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n168 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;357;6.0;7.0;250.0;True;Segunda mano/buen estado;;;Calefacción individual;;
 Casa o chalet en venta en Fuente del Berro;Barrio de Salamanca;2500000;['Casa o chalet', '239 m² construidos', '5 habitaciones', '4 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1925', 'Calefacción individual: Gas natural'];['Piscina', 'Jardín', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;239;5.0;4.0;;True;Segunda mano/buen estado;sur;1925.0;Gas natural;;
Piso en venta en Trafalgar;Chamberí;1350000;['138 m² construidos', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor'];['Consumo: \n185 kWh/m² año', 'Emisiones: \n38 kg CO2/m² año'];;138;2.0;3.0;;;Segunda mano/buen estado;;;Calefacción central;Planta 7ª exterior;True
Piso en venta en Recoletos;Barrio de Salamanca;2350000;['155 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1966', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;155;3.0;2.0;;;Segunda mano/buen estado;sur;1966.0;Gas natural;Planta 5ª exterior;True
Piso en venta en Goya;Barrio de Salamanca;889000;['98 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1940', 'Calefacción individual', 'exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n408 kWh/m² año', 'Emisiones: \n86 kg CO2/m² año'];;98;3.0;2.0;;;Segunda mano/buen estado;sur;1940.0;Calefacción individual;;True
 Chalet pareado en venta en Montecarmelo;Fuencarral;1695000;['Chalet pareado', '4 plantas', '297 m² construidos', '6 habitaciones', '5 baños', 'Parcela de 267 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 2015', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;297;6.0;5.0;267.0;True;Segunda mano/buen estado;oeste;2015.0;Gas natural;;
Piso en venta en Argüelles;Moncloa;2100000;['268 m² construidos', '4 habitaciones', '3 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1960', 'No dispone de calefacción', 'exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;268;4.0;3.0;;True;Segunda mano/buen estado;este;1960.0;;;True
Piso en venta en calle de Jorge Juan;Recoletos;1540000;['106 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1936', 'Calefacción individual: Gas natural', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;106;2.0;2.0;;;Segunda mano/buen estado;sur;1936.0;Gas natural;Planta 4ª exterior;True
Piso en venta en Ibiza;Retiro;875000;['149 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1945', 'Calefacción central: Gas', 'Planta 1ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n180 kWh/m² año', 'Emisiones: \n45 kg CO2/m² año'];;149;3.0;2.0;;;Segunda mano/buen estado;;1945.0;Gas;Planta 1ª interior;True
Dúplex en venta en calle de Montalbán, 11;Jerónimos;2950000;['220 m² construidos', '2 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación sur', 'Construido en 2020', 'Calefacción individual', 'Bajo exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'En trámite'];11.0;220;2.0;3.0;;True;Segunda mano/buen estado;sur;2020.0;Calefacción individual;;True
Ático en venta en Palacio;Centro;1175000;['173 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Construido en 1967', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor'];['En trámite'];;173;4.0;3.0;;;Segunda mano/buen estado;;1967.0;Calefacción central;Planta 7ª exterior;True
Piso en venta en calle del Duque de Sesto;Goya;1290000;['133 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;133;2.0;2.0;;;Segunda mano/buen estado;sur;;Calefacción central;Planta 1ª exterior;True
Piso en venta en paseo del General Martínez Campos;Almagro;2295000;['206 m² construidos, 182 m² útiles', '4 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1950', 'Calefacción central: Gas', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;206;4.0;4.0;;;Segunda mano/buen estado;sur;1950.0;Gas;Planta 3ª interior;True
Piso en venta en calle de Serrano;Bernabéu-Hispanoamérica;1950000;['330 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;330;5.0;4.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 5ª exterior;True
Piso en venta en calle de Santiago Bernabéu;El Viso;1550000;['230 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;230;4.0;3.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 3ª exterior;True
Piso en venta en calle de Morejón;Almagro;295000;['37 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1950', 'Calefacción individual', 'Bajo interior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;37;;;;;Segunda mano/buen estado;;1950.0;Calefacción individual;;True
Piso en venta en calle de Hermosilla;Goya;1420000;['114 m² construidos', '2 habitaciones', '2 baños', 'Plaza de garaje por 50.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, este', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;114;2.0;2.0;;True;Segunda mano/buen estado;este;;Calefacción individual;Planta 1ª exterior;True
Piso en venta en calle del General Díaz Porlier;Goya;1380000;['118 m² construidos, 108 m² útiles', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1930', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;118;3.0;2.0;;;Segunda mano/buen estado;oeste;1930.0;Gas;Planta 4ª exterior;True
Piso en venta en calle del Príncipe de Vergara;Lista;2500000;['204 m² construidos', '3 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;204;3.0;4.0;;True;Segunda mano/buen estado;;;Gas natural;Planta 3ª exterior;True
Piso en venta en calle de O'Donnell;Goya;2200000;['214 m² construidos', '3 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 1935', 'Calefacción central', 'Bajo exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n222 kWh/m² año', 'Emisiones: \n50 kg CO2/m² año'];;214;3.0;3.0;;;Segunda mano/buen estado;oeste;1935.0;Calefacción central;;True
Piso en venta en Nueva España;Chamartín;2300000;['278 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, este, oeste', 'Calefacción central', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;278;4.0;3.0;;True;Segunda mano/buen estado;oeste;;Calefacción central;Planta 7ª exterior;True
Piso en venta en calle de Francisco Silvela;El Viso;785000;['120 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1933', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;120;3.0;2.0;;;Segunda mano/buen estado;;1933.0;Calefacción central;;True
Piso en venta en calle de Apolonio Morales;Nueva España;1780000;['212 m² construidos', '4 habitaciones', '5 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur, oeste', 'Construido en 1970', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;212;4.0;5.0;;True;Segunda mano/buen estado;oeste;1970.0;Calefacción central;Planta 2ª exterior;True
Ático en venta en calle del Príncipe de Vergara;Bernabéu-Hispanoamérica;1290000;['155 m² construidos', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Orientación oeste', 'Construido en 1953', 'Calefacción individual', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;155;4.0;3.0;;;Segunda mano/buen estado;oeste;1953.0;Calefacción individual;Planta 7ª exterior;True
Piso en venta en calle de Martín de los Heros;Argüelles;680000;['110 m² construidos', '4 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 1940', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;110;4.0;2.0;;;;este;1940.0;Gas natural;Planta 1ª exterior;True
 Chalet adosado en venta en Aravaca;Moncloa;1790000;['Chalet adosado', '480 m² construidos', '6 habitaciones', '7 baños', 'Parcela de 535 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación norte, sur, este, oeste', 'No dispone de calefacción'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;480;6.0;7.0;535.0;True;Segunda mano/buen estado;oeste;;;;
Piso en venta en Almagro;Chamberí;4400000;['468 m² construidos, 382 m² útiles', '5 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1960', 'exterior', 'Con ascensor'];['En trámite'];;468;5.0;5.0;;;Segunda mano/buen estado;;1960.0;;;True
Piso en venta en calle de Azcona;Guindalera;490000;['69 m² construidos, 61 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación norte, oeste', 'Construido en 1960', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 6ª interior', 'Con ascensor'];['Consumo: \n250 kWh/m² año', 'Emisiones: \n55 kg CO2/m² año'];;69;3.0;;;;;oeste;1960.0;Calefacción individual;Planta 6ª interior;True
