ID,Título,Localización,Precio,Características Básicas,Características Extras
105891810,Chalet adosado en venta en avenida del Papa Negro,Conde Orgaz-Piovera,1890000,"['Chalet adosado', '385 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 1994', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
105893822,Chalet pareado en venta en calle Virgen de los Rosales,Aravaca,2280000,"['Chalet pareado', '4 plantas', '505 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 1.127 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1979', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
105155727,Ático en venta en avenida de Machupichu,Conde Orgaz-Piovera,870000,"['141 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1996', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']"
105122568,Piso en venta en calle de Goya,Goya,3600000,"['379 m² construidos', '5 habitaciones', '4 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
103910133,Casa o chalet independiente en venta en calle de Darío Aparicio,Valdemarín,3500000,"['Casa o chalet independiente', '749 m² construidos', '7 habitaciones', '10 baños', 'Parcela de 2.987 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2003']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']"
103997327,Piso en venta en calle de Ayala,Goya,2630000,"['306 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
103365843,"Ático en venta en calle de Mesonero Romanos, 4",Sol,1080000,"['147 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Orientación norte, este', 'Construido en 1900', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
105197920,Piso en venta en plaza Manolete,Cuatro Caminos,1175000,"['165 m² construidos, 148 m² útiles', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1967', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 15ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
104499449,Piso en venta en calle de Goya,Goya,3600000,"['379 m² construidos', '5 habitaciones', '5 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1955', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año']"
105070649,"Casa o chalet independiente en venta en calle de Cambrils, 3 --b",Mirasierra,2460000,"['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2002', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
101792453,Chalet pareado en venta en calle Virgen de los Rosales,Aravaca,2280000,"['Chalet pareado', '505 m² construidos', '7 habitaciones', '5 baños', 'Parcela de 1.127 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1997']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']"
106330563,"Dúplex en venta en calle de Montalbán, 11",Jerónimos,2700000,"['220 m² construidos', '2 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación sur', 'Construido en 2020', 'Calefacción individual', 'Bajo exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'En trámite']"
97875752,Chalet adosado en venta en paseo de La Habana,Nueva España,3110000,"['Chalet adosado', '430 m² construidos', '6 habitaciones', '5 baños', 'Parcela de 300 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 1987', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:']"
105505309,Piso en venta en calle de Núñez de Balboa,Castellana,3650000,"['340 m² construidos, 300 m² útiles', '5 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1954', 'Calefacción central: Gas', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
101792453,Chalet pareado en venta en calle Virgen de los Rosales,Aravaca,2280000,"['Chalet pareado', '505 m² construidos', '7 habitaciones', '5 baños', 'Parcela de 1.127 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1997']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']"
103910133,Casa o chalet independiente en venta en calle de Darío Aparicio,Valdemarín,3500000,"['Casa o chalet independiente', '749 m² construidos', '7 habitaciones', '10 baños', 'Parcela de 2.987 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2003']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']"
